AbJahr,AbSemester,Modulnummer,Modul,Acronym,Art,Credits,Semester,Wochenstunden,Studienrichtung,Richtung,Professor,PVL,APL,schriftliche Prüfung,mündliche Prüfung
18,WiSe,I725,Parallele Algorithmierung,PAA,Pflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Peter Sobe,false,false,true,false
18,WiSe,I740,Computer Vision / Bildverstehen,CVB,Pflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,false,false,false,true
18,WiSe,I771,Sensornetze,SEN,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Jörg Vogt,false,true,false,false
18,WiSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,PD Prof. Dr. rer. nat. habil. Michael Jung,false,false,false,true
18,WiSe,I832,Algorithmik,ALG,Pflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,false,false,false,true
18,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30,4,0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,false,false,true,true
18,WiSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Mario Neugebauer,false,true,false,true
18,WiSe,I831,Maschinelle Lernverfahren,MAL,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,false,false,false,true
18,WiSe,I833,Deep Learning,DEL,Wahlpflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,false,false,false,true
18,WiSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,false,false,true,false
18,WiSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. habil. Jörg Wensch,false,false,true,false
18,WiSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,false,false,false,true
18,SoSe,I143,Erweiterte Datenbanktechnologien/Medienarchive,EDM,Pflichtmodul,5,1,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,false,false,true,false
18,SoSe,I170,Informationssicherheit,INF,Pflichtmodul,5,1,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,false,false,true,false
18,SoSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3,1,2,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Andreas Westfeld,false,true,false,false
18,SoSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3,1,2,71,Informations- und Kommunikationstechnologien,PD Prof. Dr. rer. nat. habil. Michael Jung,false,false,true,false
18,SoSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5,1,4,71,Informations- und Kommunikationstechnologien,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,false,false,true,false
18,SoSe,I755,Software Factories,SOF,Pflichtmodul,5,1,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Dirk Mülle,false,false,true,false
18,SoSe,I838,Mathematisch-stochastische Modelle: Modellbildung und Modellanpassung,MSMMM,Pflichtmodul,5,1,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Fabian Schwarzenberger,false,false,false,true
18,SoSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10,3,4,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Anja Voß-Böhme,false,true,false,false
18,SoSe,I771,Sensornetze,SEN,Pflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Jörg Vogt,false,true,false,false
18,SoSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5,2,4,71,Informations- und Kommunikationstechnologien,PD Prof. Dr. rer. nat. habil. Michael Jung,false,false,false,true
